title,ids,years,owned
Planeta Lamma,"{'19939000, 19999000'}",{'1974'},True
Commando Planneta Lamma,{'Euriteivoss 104 WCCGT0105'},{'1992'},True
Guerrilheiro Do Planeta Lamma,{'D.F.C. 107'},{'1992'},True
Ezabelitaperonsim,{'AISSUR 099'},{'Unknown'},False
69,{'69696969'},{'Unknown'},False
4C / 308 (4C/1308),{'199999993'},{'Unknown'},True
Planeta Cabelo,"{'1999900', 'QR.92'}",{'Unknown'},False
"A Morte É A Dor, A Dor É A Morte, Eu Amo A Morte",{'RRUBLY-100'},{'Unknown'},True
Cemitério Nazismo,{'CCCP. 102'},{'Unknown'},True
Damião Experiença Nu Planeta Mendigo,{'LP DEPL 999'},{'Unknown'},True
Praça Vermelha,{'RELTIH 103'},{'Unknown'},False
Planeta Cachaça,{'OP91'},{'Unknown'},True
Adeusadolfhitler1945fim,{'UOC SOM 088'},{'Unknown'},False
Boca Calada Não Entra Mosquito Só Felicidade,{'RRUSIAN 101'},{'Unknown'},True
Planeta Roça / Planeta Lavoura,"{'DEPL 89, DEPL 88, DELP 88, DELP 89'}",{'Unknown'},True
Chupando Cana Verde No Planeta Lamma / Cheirando Alho No Planeta Lamma,{'PLDE1999'},{'Unknown'},True
Quinteto Planeta Lamma / Alta Fidelidade,{'UV - 094'},{'Unknown'},True
Daimião,{'ST-093'},{'Unknown'},True
Planeta Guerra 1914,{'SSRU 097'},{'Unknown'},False
M19 Bomba Atômica,{'EUQITEIVOSS - 104'},{'Unknown'},True
Planeta Galinha / Bocagi,{'XW 095'},{'Unknown'},False
Planeta Quentão,"{'MN-90', 'none'}",{'Unknown'},False
FFim Do Mundo,{'106'},{'Unknown'},False
Planeta Guerrilha,{'YZ-096'},{'Unknown'},True
Planeta Lamma,"{'DEPL108, musique brut 2'}",{'2022'},True
